"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC126284895",3.95691305587729,-4.68740238261868,1.38468420218581,-3.38517791653816,0.000711321329928377,0.00776140627029616
"LOC126324319",432.039262439704,-2.50248090671995,0.37080518119462,-6.74877545847048,0.0000000000149098119020465,0.000000000695967448827839
"LOC126284877",18.2945550517367,-3.44439002128812,0.49923967209851,-6.89927145975785,0.00000000000522699048751074,0.000000000264616393430231
"LOC126327189",167.386469835165,-2.54873460282707,0.220208568124399,-11.574184531218,5.5698338260466e-31,5.11310745231078e-28
"LOC126270168",15.2587183072992,-2.36364124357037,0.696304709311642,-3.39455013295405,0.000687414531252963,0.00753638383388001
"LOC126334172",115.518700135985,-1.74375834765476,0.41022515136357,-4.25073485099241,0.0000213070287828912,0.000324196448994931
"LOC126334532",46.7824813654611,-2.38855811968466,0.548696700354747,-4.35314832063032,0.0000134196292328653,0.000210225591054102
"LOC126334644",52.2245602179043,0.66515877772656,0.17671660984116,3.76398561699679,0.000167226506156363,0.00211257705483773
"LOC126334921",6.39457943868079,6.26321709621605,1.24754415532442,5.02043720816222,0.000000515540020881129,0.0000107560395265654
"LOC126335000",64.0368595623765,-1.70813198213059,0.394106079429865,-4.33419343492916,0.0000146295498607252,0.000228141451395454
"LOC126335267",6.18393401970521,2.79897798275652,0.748308337288829,3.74040732046018,0.0001837222820451,0.00230196162307645
"LOC126335304",32.6800646018625,6.63747772742985,1.11412641905851,5.95756245780336,0.00000000256027877644112,0.0000000803076053567066
"LOC126335360",9.28472119347329,-2.37968501368984,0.841856929464457,-2.82670953983079,0.00470289642030693,0.0397781840955936
"LOC126336213",37.9151367130404,-1.06662948071101,0.291527062464658,-3.6587666053827,0.000253432008599282,0.00308010481766295
"LOC126336272",292.029282175877,0.358962763191192,0.127620492861486,2.81273606724585,0.00491219521020665,0.0413959167959275
"LOC126336454",20.4694124739258,-2.8579136630756,0.510231843383726,-5.60120600102623,0.0000000212865580530155,0.000000564770528689833
"LOC126336571",41.2863744856882,-1.17798768785198,0.29138043988978,-4.04278230995044,0.0000528206565067564,0.000746756098663282
"LOC126336536",252.530149102161,-2.56754727770836,0.399609525185349,-6.42514033297247,0.000000000131747918181123,0.00000000518333952386877
"LOC126338860",33.8161187880357,-2.52678006704577,0.548253683100643,-4.60877901039459,0.00000405040562456702,0.00006919861718398
"LOC126338177",116.622574453739,-3.23103831231913,1.05129618242929,-3.07338537542579,0.00211644977170014,0.0201406450285493
"LOC126338532",500.516390564055,-0.601785563707909,0.19569127903087,-3.07517824344629,0.00210376785217033,0.020033805895149
"LOC126335585",3.93528029815914,2.62689000084776,0.913511475370668,2.87559606164977,0.00403265416372244,0.0348585359914991
"LOC126339150",104.74193730575,-1.81816197791867,0.427352075526912,-4.25448261992627,0.0000209532933081031,0.000319166868199756
"LOC126339739",449.819337125806,-1.3265220969452,0.369869305061574,-3.58646170090911,0.000335195268043073,0.00399622410472132
"LOC126339830",8.73339140044352,-2.23128649171525,0.686968944914272,-3.24801653442092,0.00116212517256269,0.0119332316377242
"LOC126342753",20.1061194451962,-1.61622525905348,0.361254819641438,-4.47392026674594,0.00000767983892731284,0.00012470681843054
"LOC126341885",2761.36761347148,-1.26128837078697,0.194102328814494,-6.4980589284552,0.0000000000813629365389868,0.00000000336446737580134
"LOC126342775",50.9861494683504,-1.09920822314682,0.322359778675689,-3.40988018934175,0.000649914234554448,0.00716122224086693
"LOC126343442",7.31236934084473,-5.61636529147645,1.9012321131749,-2.95406607775922,0.00313616847182913,0.0281886683140255
"LOC126345439",6.01409509174482,4.38275546748862,1.04318069542441,4.20133873902404,0.0000265341221624573,0.000395855755338068
"LOC126346209",101.668035978684,0.432147032610066,0.155448801665814,2.77999590848632,0.00543595833518732,0.0451194371763287
"LOC126346953",403.604462968667,-2.09624961117873,0.314545220439311,-6.66438233666688,0.0000000000265780734448346,0.00000000119601330501756
