Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC126268220	43	75	86	39	63	83	109	171	157	129	49	86	62	31	57	106	119	154	121	303	108.99	57	161	2.788	1.479	0.000163665122436348	0.0114089390193274	0.1663	0.1838
LOC126284858	96	177	231	142	168	468	411	319	290	96	109	204	168	114	152	597	449	288	223	226	253.1	149	357	2.388	1.256	0.000163436651310575	0.0114089390193274	0.125	0.1312
LOC126335750	106	131	161	267	113	135	225	331	118	2068	121	151	117	214	102	172	246	299	91	4861	637.4	141	1134	8.02	3.004	0.000163721155206931	0.0114089390193274	0.6527	0.1309
LOC126365834	125	595	765	529	312	378	240	7483	920	2117	142	685	556	425	283	482	262	6759	709	4976	1527.94	418	2638	6.305	2.657	0.000163582374615436	0.0114089390193274	0.5266	0.1607
LOC126336547	62	47	76	139	56	69	23	373	442	391	71	54	55	112	51	88	25	337	341	919	205.21	69	342	4.97	2.313	0.000166744689347492	0.0115483484542566	0.4056	0.1412
LOC126268116	22	49	32	21	23	53	52	111	123	42	25	56	23	17	21	68	57	100	95	99	56.07	28	84	2.952	1.562	0.00017014553347674	0.0117120300452373	0.177	0.2222
LOC126267550	315	2891	2739	869	1209	2166	5634	4771	5595	5533	359	3328	1989	698	1097	2765	6156	4310	4312	13005	3801.71	1494	6110	4.088	2.031	0.000183228424986591	0.0125361556949917	0.3279	0.194
LOC126281584	7	5	22	19	12	46	43	10	61	22	8	6	16	15	11	59	47	9	47	52	26.93	11	43	3.704	1.889	0.000185135160911105	0.0125903062140088	0.245	0.2411
LOC126281273	71	62	80	49	118	85	89	243	219	270	81	71	58	39	107	108	97	219	169	635	158.53	71	246	3.422	1.775	0.000187815782218451	0.0126205497944291	0.2476	0.1571
LOC126284306	17290	15421	27785	23977	13077	22627	24355	74655	67379	45083	19699	17754	20178	19254	11860	28881	26610	67434	51928	105962	36955.98	17749	56163	3.164	1.662	0.000202081247595273	0.0132633442099013	0.2279	0.2586
LOC126334907	186	294	303	224	241	290	350	609	647	286	212	338	220	180	219	370	382	550	499	672	364.24	234	495	2.114	1.08	0.000201423690434278	0.0132633442099013	0.096	0.124
LOC126335543	14	30	52	22	36	54	52	99	70	64	16	35	38	18	33	69	57	89	54	150	55.81	28	84	2.976	1.573	0.000225794326372678	0.0144010855955998	0.1874	0.2229
LOC126284447	14	12	22	36	25	6	14	132	128	163	16	14	16	29	23	8	15	119	99	383	72.13	20	125	6.316	2.659	0.00023250894881544	0.0146636509674721	0.5355	0.2121
LOC126334853	47	378	209	99	90	300	1359	535	462	180	54	435	152	79	82	383	1485	483	356	423	393.18	160	626	3.908	1.967	0.000231791082719722	0.0146636509674721	0.316	0.1239
LOC126294962	451	618	648	1043	425	563	1012	1352	1860	1822	514	712	471	838	385	719	1106	1221	1433	4282	1168.03	584	1752	2.998	1.584	0.000242453156428717	0.0150387564995813	0.2123	0.1508
LOC126336938	117	188	309	457	253	163	246	513	505	2744	133	216	224	367	229	208	269	463	389	6449	894.94	234	1556	6.635	2.73	0.000247727064095318	0.0152819170850932	0.5843	0.1413
LOC126313189	24	10	33	19	24	90	13	19	23	306	27	12	24	15	22	115	14	17	18	719	98.3	20	177	8.736	3.127	0.000251748974542243	0.015362130668148	0.7294	0.1939
LOC126295330	47	68	90	76	49	162	135	180	183	31	54	78	65	61	44	207	148	163	141	73	103.34	60	146	2.426	1.278	0.000261935057122101	0.0158127532612374	0.1324	0.1867
LOC126365913	209	128	309	402	318	231	173	248	526	4065	238	147	224	323	288	295	189	224	405	9554	1188.86	244	2133	8.726	3.125	0.000261173200290732	0.0158127532612374	0.7467	0.1513
LOC126266827	52	14	48	57	33	109	107	241	67	27	59	16	35	46	30	139	117	218	52	63	77.47	37	118	3.17	1.665	0.000269307819416962	0.0161713615606281	0.2238	0.2059
