Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC124788015	688	726	791	1272	753	1821	1079	3860	2501	717	786	846	576	1014	679	2349	1186	3451	1928	1675	1448.79	780	2118	2.715	1.441	3.056273987583e-05	0.00253969474517047	0.1371	0.1704
LOC124788080	236	317	366	382	437	48	36	240	180	15	270	369	266	304	394	62	40	215	139	35	209.39	321	98	0.309	-1.694	9.41619074696042e-05	0.00612163177267097	0.2087	0.1465
LOC124788115	1927	1420	346	489	1504	2419	3164	5146	4786	999	2201	1655	252	390	1357	3120	3477	4600	3689	2333	2307.31	1171	3444	2.942	1.557	0.0013670873276325	0.0456466741540616	0.2708	0.1823
LOC124788119	57	33	38	42	52	6	6	11	18	10	65	38	28	33	47	8	7	10	14	23	27.3	42	12	0.28	-1.836	6.47325639314576e-05	0.00444362917124515	0.1865	0.2517
LOC124788165	23	25	40	27	24	38	37	66	82	50	26	29	29	22	22	49	41	59	63	117	45.63	26	66	2.532	1.34	0.000965341853313769	0.0349801906977829	0.166	0.2537
LOC124788214	843	508	762	1331	860	243	168	240	313	38	963	592	555	1061	776	313	185	215	241	89	498.87	789	209	0.266	-1.913	2.26120312740159e-08	4.80592633923891e-06	0.1287	0.1333
LOC124788222	906	2341	8548	5608	2191	12	27	72	74	12	1035	2728	6223	4469	1977	15	30	64	57	28	1662.67	3286	39	0.012	-6.377	1.11114816754438e-27	6.14020477385023e-24	0.253	0.1741
LOC124788242	19	35	131	62	54	0	0	0	0	0	22	41	95	49	49	0	0	0	0	0	25.6	51	0	0.002	-8.688	2.66181887442611e-20	2.45153518334645e-17	0.2539	0.2512
LOC124788266	126	183	293	324	121	751	275	582	642	182	144	213	213	258	109	969	302	520	495	425	364.88	187	542	2.888	1.53	1.19145165905447e-05	0.00121925219776574	0.1372	0.1285
LOC124788354	84	274	688	523	392	303	160	555	856	3294	96	319	501	417	354	391	176	496	660	7693	1110.26	337	1883	5.576	2.479	0.0012085979387173	0.0414826845301355	0.6307	0.1623
LOC124788421	87	262	213	219	213	288	571	402	495	111	99	305	155	175	192	371	627	359	382	259	292.55	185	400	2.162	1.112	0.00103237025737331	0.0370446626119799	0.131	0.131
LOC124789001	14	50	75	52	72	0	0	0	1	0	16	58	55	41	65	0	0	0	1	0	23.6	47	0	0.007	-7.115	1.51650000083669e-18	1.11735720061647e-15	0.2427	0.2496
LOC124789002	17	141	1150	478	133	0	1	0	0	0	19	164	837	381	120	0	1	0	0	0	152.3	304	0	0.001	-9.772	2.19720069503342e-19	1.7345330058221e-16	0.5156	0.1715
LOC124789136	37	230	438	142	134	0	1	0	1	0	42	268	319	113	121	0	1	0	1	0	86.51	173	0	0.003	-8.271	1.36308988070035e-23	2.39746666066464e-20	0.3093	0.2239
LOC124789268	38	38	118	98	71	112	89	388	422	150	43	44	86	78	64	144	98	347	325	350	158.05	63	253	3.98	1.993	9.11900849183184e-07	0.000122906441282592	0.1764	0.1695
LOC124789276	240	418	397	687	453	454	820	547	408	2776	274	487	289	547	409	586	901	489	314	6484	1078.01	401	1755	4.368	2.127	0.000948844768687628	0.0346093478004477	0.4567	0.1614
LOC124789306	121	165	1674	176	129	40	106	95	200	26	138	192	1219	140	116	52	116	85	154	61	227.37	361	94	0.26	-1.943	0.000872194094072699	0.0323903338243778	0.3762	0.1413
LOC124789336	17	67	86	60	41	75	72	282	284	132	19	78	63	48	37	97	79	252	219	308	120.01	49	191	3.881	1.956	2.10150337730586e-05	0.00190375535458888	0.2266	0.1959
LOC124789381	448	640	1603	1508	754	429	602	2485	2522	6398	512	746	1167	1202	680	553	662	2221	1944	14943	2462.99	861	4065	4.717	2.238	0.00105064479590848	0.0375784022148238	0.5112	0.1838
LOC124789397	654	466	611	711	763	205	189	352	368	41	747	543	445	567	688	264	208	315	284	96	415.6	598	233	0.392	-1.349	3.3307045894439e-05	0.00270668728842162	0.1199	0.1295
LOC124789467	385	591	656	578	612	654	810	1253	991	1347	440	689	478	461	552	843	890	1120	764	3146	938.23	524	1353	2.579	1.367	0.000533244296018608	0.0227184044177636	0.1791	0.1565
LOC124789506	45	32	108	136	53	94	162	235	278	69	51	37	79	108	48	121	178	210	214	161	120.83	65	177	2.723	1.445	9.76906995914515e-05	0.00623808919624507	0.15	0.1945
LOC124789508	190	214	265	254	341	781	612	986	964	79	217	249	193	202	308	1007	673	881	743	185	465.81	234	698	2.988	1.579	1.89797854782801e-05	0.0017480382425496	0.1538	0.1316
