Id	SPICE_S_Iso_SRR11815195	SPICE_S_Iso_SRR11815196	SPICE_S_Iso_SRR11815207	SPICE_S_Iso_SRR11815218	SPICE_S_Iso_SRR11815229	SPICE_G_Crd_SRR11815262	SPICE_G_Crd_SRR11815264	SPICE_G_Crd_SRR11815265	SPICE_G_Crd_SRR11815266	SPICE_G_Crd_SRR11815267	norm.SPICE_S_Iso_SRR11815195	norm.SPICE_S_Iso_SRR11815196	norm.SPICE_S_Iso_SRR11815207	norm.SPICE_S_Iso_SRR11815218	norm.SPICE_S_Iso_SRR11815229	norm.SPICE_G_Crd_SRR11815262	norm.SPICE_G_Crd_SRR11815264	norm.SPICE_G_Crd_SRR11815265	norm.SPICE_G_Crd_SRR11815266	norm.SPICE_G_Crd_SRR11815267	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126284854	7	9	15	18	12	569	355	11	9	18	9	12	11	12	11	754	431	9	11	15	127.32	11	244	5.883	2.556	3.947	7.92566510440628e-05	0.00132280176182656	1.51	0.0732	0.9354	1.51	TRUE	0.1514
LOC126284858	125	127	474	248	223	330	387	674	672	604	162	165	341	160	202	437	470	553	804	494	378.82	206	552	2.37	1.245	5.531	3.17563817219031e-08	2.71368867274236e-06	0.0842	0.0541	0.0754	0.0754	TRUE	1.5496
LOC126284913	12	81	37	239	268	3268	486	297	546	305	16	106	27	154	243	4329	590	244	653	250	661.03	109	1213	3.444	1.784	3.579	0.00034556390406591	0.00401705121041415	1.1283	0.0499	0.6785	1.1283	TRUE	4.8456
LOC126284930	20	14	47	28	15	5	2	5	5	10	26	18	34	18	14	7	2	4	6	8	13.69	22	5	0.338	-1.564	-4.211	2.54720769839032e-05	0.000561963997899607	0.078	0.3124	0.1527	0.1527	TRUE	0.2042
LOC126285161	5	30	20	28	49	100	112	31	76	108	6	39	14	18	44	132	136	25	91	88	59.56	24	94	2.579	1.367	3.877	0.000105579834922011	0.00161880660769178	0.3787	0.106	0.2784	0.2784	TRUE	0.2772
LOC126285233	537	478	1326	1346	1431	1101	1948	3043	3044	3189	696	623	953	866	1299	1459	2364	2496	3642	2609	1700.73	887	2514	2.584	1.369	5.87	4.35044275156695e-09	4.68604833525926e-07	0.0914	0.0466	0.0778	0.0778	TRUE	0.1429
LOC126285254	2742	7023	11680	6561	7489	7106	16164	47002	60943	38484	3556	9152	8397	4221	6800	9414	19619	38548	72916	31482	20410.49	6425	34396	4.705	2.234	5.61	2.02696123534113e-08	1.89646635873012e-06	0.3227	0.0446	0.2235	0.2235	TRUE	0.2197
LOC126285394	19	7	33	21	21	28	34	70	68	71	25	9	24	14	19	37	41	57	81	58	36.53	18	55	2.571	1.362	4.824	1.40548302949914e-06	5.81144563616774e-05	0.0742	0.1448	0.0981	0.0981	TRUE	0.1974
LOC126291601	24	29	50	103	49	13	13	18	10	17	31	38	36	66	44	17	16	15	12	14	28.93	43	15	0.398	-1.328	-4.86	1.1764414714843e-06	5.1820023304075e-05	0.0456	0.1712	0.079	0.079	TRUE	0.7952
LOC126291604	100	42	415	308	162	277	238	851	1242	714	130	55	298	198	147	367	289	698	1486	584	425.19	166	685	3.286	1.716	4.506	6.59167118998367e-06	0.000195131735134436	0.3574	0.053	0.2434	0.2434	TRUE	0.5057
LOC126291616	104	115	236	116	167	155	254	393	608	323	135	150	170	75	152	205	308	322	727	264	250.83	136	365	2.073	1.052	4.236	2.27272282479168e-05	0.000518358739647327	0.1657	0.059	0.1311	0.1311	TRUE	1.5054
LOC126291753	58	57	139	68	64	68	121	365	290	386	75	74	100	44	58	90	147	299	347	316	155.03	70	240	2.937	1.555	4.929	8.26209751311929e-07	3.85103876084229e-05	0.1852	0.0681	0.1467	0.1467	TRUE	0.098
LOC126291886	2	3	19	5	20	9	53	62	92	46	3	4	14	3	18	12	64	51	110	38	31.63	8	55	4.554	2.187	4.367	1.26210908456983e-05	0.00033287477872461	0.535	0.1604	0.3925	0.3925	TRUE	0.1683
LOC126291888	31	30	22	32	29	5	1	13	2	10	40	39	16	21	26	7	1	11	2	8	17.11	28	6	0.288	-1.798	-4.331	1.487197773981e-05	0.000376737175234951	0.176	0.2588	0.2084	0.2084	TRUE	0.1461
LOC126291919	3537	2561	6823	6168	7246	4105	15991	22913	31036	16767	4587	3337	4905	3968	6579	5438	19409	18792	37133	13716	11786.57	4675	18898	3.614	1.853	5.366	8.03247527626749e-08	6.02106830942671e-06	0.2233	0.0447	0.1692	0.1692	TRUE	0.2061
LOC126291976	4994	4435	7844	7558	8772	7101	21637	34218	47155	25728	6477	5779	5639	4863	7965	9407	26262	28063	56419	21047	17192.09	6145	28240	4.24	2.084	6.257	3.91599874046221e-10	5.76504489242488e-08	0.2067	0.0446	0.1484	0.1484	TRUE	0.2724
LOC126291995	47	45	26	70	29	35	48	220	394	208	61	59	19	45	26	46	58	180	471	170	113.63	42	185	2.959	1.565	3.955	7.64471598379539e-05	0.00128934170368802	0.4958	0.0767	0.3411	0.3411	TRUE	0.4807
LOC126292013	260	457	680	634	759	71	109	300	169	341	337	596	489	408	689	94	132	246	202	279	347.22	504	191	0.462	-1.115	-4.692	2.70946307627157e-06	9.89134860472552e-05	0.1251	0.055	0.1026	0.1026	TRUE	0.1749
LOC126292039	18	15	52	40	22	18	18	145	149	120	23	20	37	26	20	24	22	119	178	98	56.7	25	88	2.084	1.06	3.5	0.000464800151463377	0.00500656163147695	0.3912	0.1091	0.2937	0.2937	TRUE	0.103
LOC126292048	42	34	99	48	86	0	0	0	0	0	54	44	71	31	78	0	0	0	0	0	27.89	56	0	0.005	-7.579	-8.328	8.23509101163584e-17	5.0265426946261e-14	0.1259	0.1759	0.1478	0.1478	TRUE	0.0521
LOC126292113	0	0	0	2	4	22	41	32	46	92	0	0	0	1	4	29	50	26	55	75	24.04	1	47	30.379	4.925	7.463	8.4321779182187e-14	2.40185903457172e-11	0.2167	0.197	0.2065	0.2065	TRUE	0.5886
LOC126292127	12	2	56	27	17	13	64	108	152	88	16	3	40	17	15	17	78	89	182	72	52.86	18	88	2.95	1.561	3.85	0.000118149704136923	0.00176920900423724	0.5397	0.1138	0.3742	0.3742	TRUE	0.248
